ID,LONGDIST,International,LOCAL,DROPPED,PAY_MTHD,LocalBillType,LongDistanceBillType,AGE,SEX,STATUS,CHILDREN,Est_Income,Car_Owner,CHURNED
0,5.2464,7.5151,86.3278,0,CH,FreeLocal,Standard,57,F,M,2,27535.3,Y,Vol
3,0.0,0.0,3.94229,0,CC,Budget,Intnl_discount,50,F,S,2,64632.3,N,InVol
4,5.55564,0.0,9.36347,1,CC,Budget,Intnl_discount,68,F,M,2,81000.9,N,Vol
8,14.0193,5.68043,29.8065,0,CC,Budget,Standard,34,M,S,0,87467.1,Y,Current
10,13.664,2.95642,32.6381,0,CC,FreeLocal,Intnl_discount,60,M,M,2,83220.6,N,Vol
11,0.0,0.0,1.41294,0,CC,FreeLocal,Standard,84,F,S,0,50290.7,N,InVol
13,0.281029,0.0,8.53692,0,CH,Budget,Intnl_discount,28,F,M,2,20850.4,N,Vol
17,1.577,0.0,19.9808,0,CC,FreeLocal,Standard,52,M,S,0,84112.6,N,Current
19,11.0307,0.0,34.2777,0,CC,Budget,Standard,87,F,S,2,3776.12,N,Vol
20,0.452629,0.0,73.0122,0,Auto,FreeLocal,Standard,88,F,M,2,73865.9,Y,Vol
22,3.72883,0.0,18.8474,0,Auto,FreeLocal,Standard,76,M,M,2,30933.6,Y,Current
23,20.2946,0.0,76.0518,0,CC,FreeLocal,Standard,76,F,M,1,12309.6,N,Vol
26,10.3701,2.15279,24.6683,0,CH,FreeLocal,Standard,87,M,S,0,69864.0,N,Vol
28,20.2685,0.0,102.864,0,CH,Budget,Intnl_discount,90,F,M,0,91620.6,N,Current
30,25.5278,0.746981,5.18571,0,CC,Budget,Standard,62,M,S,0,96501.9,Y,Current
31,26.4952,0.0,31.0847,0,CC,FreeLocal,Intnl_discount,81,M,S,1,3968.54,N,Current
32,8.08211,0.0,10.5858,0,CH,Budget,Standard,50,F,M,2,13774.2,N,Vol
33,2.94583,0.261446,77.238,0,CH,FreeLocal,Standard,48,M,S,2,39428.2,N,Current
40,24.3456,0.0,62.826,0,CC,Budget,Standard,37,F,S,2,4988.14,N,Current
