BatchNumber,MachineNumber,ProductCode,TimeStarted,TimeStopped,NumberProduced,NumberRejected
3830,1,18,1/1/2013 8:25,1/1/2013 14:30,3916,41
3830,2,27,1/1/2013 8:38,1/1/2013 13:33,4640,49
3830,3,58,1/1/2013 8:52,1/1/2013 12:37,1289,13
3831,4,45,1/1/2013 8:52,1/1/2013 16:27,2607,27
3831,5,49,1/1/2013 9:06,1/1/2013 15:31,2206,23
3832,6,21,1/1/2013 9:06,1/1/2013 14:21,3380,36
3833,1,21,1/2/2013 9:19,1/2/2013 14:34,3380,36
3833,2,26,1/2/2013 9:19,1/2/2013 12:14,2753,29
3833,3,57,1/2/2013 9:33,1/2/2013 12:28,1003,10
3834,4,44,1/2/2013 9:33,1/2/2013 12:33,1028,11
3834,5,43,1/2/2013 8:07,1/2/2013 9:57,628,6
3835,6,16,1/2/2013 8:07,1/2/2013 9:57,1178,12
3836,1,16,1/3/2013 8:52,1/3/2013 9:37,482,5
3836,2,25,1/3/2013 8:52,1/3/2013 9:37,707,7
3836,3,57,1/3/2013 8:34,1/3/2013 16:29,2714,29
3837,4,43,1/3/2013 8:34,1/3/2013 15:19,2314,24
3837,5,47,1/3/2013 8:48,1/3/2013 15:33,2314,24
3838,6,2,1/3/2013 8:48,1/3/2013 14:28,3643,39
3839,1,2,1/6/2013 8:03,1/6/2013 10:23,1500,16
3839,2,32,1/6/2013 8:43,1/6/2013 11:03,2200,23
3839,3,37,1/6/2013 8:43,1/6/2013 9:53,400,4
3840,4,55,1/6/2013 8:57,1/6/2013 10:07,400,4
3840,5,41,1/6/2013 8:57,1/6/2013 10:47,628,6
3841,6,14,1/6/2013 9:11,1/6/2013 16:26,4662,49
3842,1,14,1/7/2013 8:25,1/7/2013 15:40,4662,49
3842,2,32,1/7/2013 8:39,1/7/2013 14:44,5736,61
3842,3,36,1/7/2013 8:39,1/7/2013 14:44,2086,22
3843,4,54,1/7/2013 8:53,1/7/2013 13:48,1686,18
3843,5,58,1/7/2013 8:53,1/7/2013 12:43,1315,14
3844,6,17,1/7/2013 9:06,1/7/2013 12:56,2465,26
3845,1,17,1/8/2013 9:06,1/8/2013 11:46,1714,18
3845,2,26,1/8/2013 9:38,1/8/2013 12:18,2514,26
3845,3,57,1/8/2013 9:38,1/8/2013 11:08,514,5
3846,4,44,1/8/2013 8:03,1/8/2013 8:28,142,1
3846,5,43,1/8/2013 8:24,1/8/2013 8:49,142,1
3847,6,16,1/8/2013 8:24,1/8/2013 15:59,4876,52
3848,1,16,1/9/2013 8:54,1/9/2013 16:29,4877,52
3848,2,25,1/9/2013 8:54,1/9/2013 15:19,6051,64
3848,3,54,1/9/2013 9:08,1/9/2013 14:28,1830,19
3849,4,58,1/9/2013 9:08,1/9/2013 14:28,1830,19
3849,5,44,1/9/2013 9:21,1/9/2013 11:26,714,7
3850,6,17,1/9/2013 9:21,1/9/2013 11:26,1339,14
3851,1,17,1/10/2013 9:35,1/10/2013 12:35,1929,20
