@relation InstanceResultListener

@attribute Key_Dataset {'kredyt przyznany'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.BayesNet,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.J48,weka.classifiers.rules.JRip,weka.classifiers.meta.AdaBoostM1,weka.classifiers.functions.Logistic}
@attribute Key_Scheme_options {'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','','-C 0.25 -M 2','-F 3 -N 2.0 -O 2 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-R 1.0E-8 -M -1 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {746037443258775954,5995231201785697655,-217733168393644444,-6589312996832147161,-1178107808933117974,3932117032546553727}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n'}
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'kredyt przyznany',1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.262453,0.447665,52.490563,89.532908,10,10.988202,-0.988202,1,1.09882,-0.09882,4.973129,0.497313,49.731285,0.8,4,0.2,1,0.8,4,0.2,1,0.8,0.8,0.8,0.6,0.78,0.81,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.6,0.78,0.755833,0.8,0.8,0,0,0.000448,0.000049,0.448,0.049,10257,4353,3183,80,65,?,0,0,0,0,-69.189449,-76.061051,-77.392222,-72.911427,-63.911427,?,?,?
'kredyt przyznany',2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.245789,0.435721,49.157737,87.144273,10,10.038101,-0.038101,1,1.00381,-0.00381,5.293233,0.529323,52.932331,0.8,4,0.2,1,0.8,4,0.2,1,0.8,0.8,0.8,0.6,0.76,0.71,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.6,0.76,0.71,0.8,0.8,0,0,0.000444,0.000054,0.444,0.054,10257,4353,3183,80,60,?,0,0,0,0,-70.087391,-76.958993,-78.194235,-73.71344,-64.71344,?,?,?
'kredyt przyznany',3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,21,9,7,2,0,77.777778,22.222222,0,0.55,0.255905,0.438864,50.934896,87.270237,9.07505,8.352511,0.722539,1.008339,0.928057,0.080282,4.614833,0.512759,50.851881,0.75,3,0.2,1,0.8,4,0.25,1,0.75,0.75,0.75,0.55,0.825,0.705357,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.825,0.77522,0.775,0.777778,0,0,0.000334,0.000037,0.334,0.037,10257,4470,3066,88.888889,77.777778,?,0,0,0,0,-72.588215,-79.459817,-80.799816,-76.099465,-67.099465,?,?,?
'kredyt przyznany',4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,21,9,6,3,0,66.666667,33.333333,0,0.307692,0.339236,0.567104,67.520976,112.771362,9.07505,17.728047,-8.652998,1.008339,1.969783,-0.961444,2.989495,0.332166,32.941913,0.5,2,0.2,1,0.8,4,0.5,2,0.666667,0.5,0.571429,0.316228,0.675,0.552778,0.666667,0.366667,0.633333,0.333333,0.666667,0.666667,0.658009,0.316228,0.675,0.631481,0.649351,0.666667,0,0,0.000308,0.000038,0.308,0.038,10257,4470,3066,66.666667,50,?,0,0,0,0,-69.543692,-76.415294,-78.357036,-73.656685,-64.656685,?,?,?
'kredyt przyznany',5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,20,10,6,4,0,60,40,0,0.2,0.366757,0.547546,73.351344,109.509291,10,13.398417,-3.398417,1,1.339842,-0.339842,2.622294,0.262229,26.222942,0.4,2,0.2,1,0.8,4,0.6,3,0.666667,0.4,0.5,0.218218,0.74,0.766667,0.6,0.4,0.6,0.4,0.619048,0.6,0.583333,0.218218,0.74,0.727976,0.583333,0.6,0,0,0.000311,0.00004,0.311,0.04,10255,4353,3183,100,90,?,0,0,0,0,-68.676882,-75.548484,-77.178185,-72.69739,-63.69739,?,?,?
'kredyt przyznany',6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,21,9,7,2,0,77.777778,22.222222,0,0.526316,0.273824,0.424601,54.501549,84.433917,9.07505,7.020485,2.054564,1.008339,0.780054,0.228285,4.336759,0.481862,47.787715,0.5,2,0,0,1,5,0.5,2,1,0.5,0.666667,0.597614,0.85,0.833333,0.777778,0.277778,0.722222,0.222222,0.84127,0.777778,0.759259,0.597614,0.85,0.857143,0.75,0.777778,0,0,0.000281,0.000035,0.281,0.035,10255,4470,3066,100,88.888889,?,0,0,0,0,-75.067018,-81.93862,-83.250385,-78.550034,-69.550034,?,?,?
'kredyt przyznany',7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.225728,0.362974,45.145613,72.594738,10,5.985885,4.014115,1,0.598589,0.401411,5.681495,0.568149,56.814948,1,5,0.4,2,0.6,3,0,0,0.714286,1,0.833333,0.654654,0.92,0.886667,0.8,0.2,0.8,0.2,0.857143,0.8,0.791667,0.654654,0.92,0.905833,0.791667,0.8,0,0,0.000354,0.000043,0.354,0.043,10253,4353,3183,100,85,?,0,0,0,0,-68.955785,-75.827387,-77.418817,-72.938022,-63.938022,?,?,?
'kredyt przyznany',8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,21,9,6,3,0,66.666667,33.333333,0,0.307692,0.328947,0.491027,65.473174,97.643002,9.07505,9.135919,-0.060869,1.008339,1.015102,-0.006763,3.180304,0.353367,35.04448,0.5,2,0.2,1,0.8,4,0.5,2,0.666667,0.5,0.571429,0.316228,0.55,0.722222,0.666667,0.366667,0.633333,0.333333,0.666667,0.666667,0.658009,0.316228,0.55,0.659612,0.649351,0.666667,0,0,0.000332,0.000038,0.332,0.038,10255,4470,3066,100,88.888889,?,0,0,0,0,-72.964692,-79.836294,-81.398912,-76.698561,-67.698561,?,?,?
'kredyt przyznany',9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20200315.1725,20,10,7,3,0,70,30,0,0.4,0.310332,0.530842,62.066425,106.168446,10,20.433035,-10.433035,1,2.043303,-1.043303,3.847585,0.384758,38.475847,0.8,4,0.4,2,0.6,3,0.2,1,0.666667,0.8,0.727273,0.408248,0.7,0.625,0.7,0.3,0.7,0.3,0.708333,0.7,0.69697,0.408248,0.7,0.6875,0.69697,0.7,0,0,0.000267,0.000038,0.267,0.038,10257,4353,3183,80,60,?,0,0,0,0,-62.280191,-69.151793,-71.770381,-67.289586,-58.289586,?,?,?
