Source	Target
0	1140
0	3589
1	184
1	2784
1	3510
2	119
2	530
2	1251
2	1390
2	5800
2	5869
2	6827
3	4524
3	5277
3	5909
3	6634
4	14
4	4185
4	4826
4	6514
5	3791
5	4630
5	5552
5	6633
6	3814
6	5679
6	5960
6	6862
6	6883
7	1413
7	1784
8	564
8	2298
8	2459
9	192
9	6063
9	6923
10	1984
10	3509
10	5204
11	66
11	3374
12	2191
12	5934
12	6409
13	3524
13	4661
13	5479
14	4826
15	776
15	821
15	1267
15	2066
16	3551
16	3923
17	652
17	4035
17	4707
17	5613
18	639
18	1497
18	3535
18	6428
19	3453
19	6157
19	6911
20	3386
20	3709
20	4057
21	3872
21	4681
22	332
22	3190
22	3623
23	2235
23	6421
24	1111
24	3896
24	4074
25	363
25	915
25	4388
26	3661
26	5315
27	257
27	1297
27	5820
28	1666
28	1777
28	2195
28	6032
29	1583
29	1948
29	3039
30	458
30	1302
30	4064
31	1351
31	1425
31	3590
31	5818
32	1186
32	4158
33	73
33	2008
34	1223
34	1977
35	1227
35	2688
36	274
36	1940
36	3405
37	710
37	1658
37	4970
37	5316
37	6030
38	3348
38	4972
38	5838
39	535
39	3310
39	3740
39	4843
39	5212
39	6098
40	1495
40	1907
40	3484
40	4557
41	579
41	886
41	5449
41	6446
42	163
42	2684
43	1550
43	4530
44	4698
44	5116
45	4768
45	4908
45	5786
45	5969
46	2778
46	3560
47	1859
47	2031
47	4294
48	2863
48	4565
48	5995
48	6288
49	1137
49	1570
49	3181
49	5598
50	3094
50	4808
51	1018
51	2135
51	5656
51	5780
51	6063
51	6864
51	6923
52	2563
52	3386
52	5391
53	2978
53	4410
54	652
54	2463
55	3425
55	5002
56	3843
56	5292
57	1013
57	2478
57	6221
57	6283
58	110
58	3917
58	4734
58	5046
58	6250
58	6586
59	4030
59	4185
60	877
60	1743
60	6106
61	105
61	554
61	1321
61	6537
62	4499
62	4728
63	2229
63	4798
63	5358
64	2370
64	2944
64	3277
64	5115
65	3084
65	3310
65	3608
65	5596
65	6206
66	2348
66	4772
66	4797
66	5971
67	250
67	1079
67	3717
68	679
68	1192
68	2108
68	5405
69	4004
69	5095
70	1264
70	1884
70	2309
70	3343
70	5677
71	2937
71	3037
71	4614
72	1504
72	2809
72	3727
72	4414
73	909
73	2008
73	2733
73	3888
74	3815
74	3913
75	2660
75	5736
76	1700
76	3759
76	6222
76	6475
77	3282
77	3447
77	6947
78	3339
78	5115
78	6229
79	2041
79	2074
80	4113
80	4573
80	5067
80	5212
80	6755
81	1948
81	3318
82	2342
82	5844
83	5056
83	6469
84	4156
84	6296
84	6429
85	425
85	6362
85	6576
86	3035
86	3111
86	5318
87	124
87	4133
87	6006
88	2155
88	4344
88	5443
89	4532
89	6675
90	3017
90	5228
90	5349
90	6774
91	142
91	296
91	747
92	5672
92	6519
93	2348
93	6545
93	6648
94	2244
94	2517
94	2630
94	2651
94	6504
94	6906
95	1628
95	3303
96	3704
96	4561
96	5165
96	5337
97	584
97	5538
97	6410
98	605
98	2531
99	4635
99	5117
99	6534
100	1781
100	1879
101	2859
101	4343
101	5867
101	5899
102	2371
102	2530
102	3412
102	4225
102	5241
102	6036
103	368
103	1435
103	2919
103	3378
103	3397
103	3936
103	4083
103	5776
104	5817
104	5903
104	6301
105	1321
105	4699
106	738
106	5089
106	6552
107	1915
107	2299
107	3842
107	3880
108	681
108	6441
109	470
109	1143
109	5858
109	6110
110	4734
111	2099
111	4370
112	2628
112	4682
112	6033
113	1661
113	3551
113	5782
114	2596
114	3023
114	6394
114	6673
115	671
115	3220
115	3391
115	3751
115	6057
115	6373
116	796
116	1430
116	2501
117	4245
117	4254
117	5083
118	149
118	4658
118	5839
119	530
