Source,Target 
42,56672 
42,27509 
42,46752 
42,44109 
42,75845 
42,87689 
42,94611 
42,97198 
42,71956 
42,8874 
42,10455 
42,13593 
42,34483 
42,51294 
42,5312 
42,8828 
42,56706 
42,53499 
42,41887 
42,77939 
42,19194 
42,72861 
73,38198 
73,78973 
73,96267 
73,106498 
73,93424 
73,87310 
73,62900 
73,12986 
73,5985 
73,86914 
73,2042 
73,28058 
73,28566 
73,101436 
73,75186 
73,63603 
73,64816 
73,39624 
73,61734 
73,63769 
73,30283 
73,9779 
73,104047 
73,48116 
73,95529 
73,69186 
73,42060 
73,81222 
73,7457 
73,54034 
73,72629 
73,89902 
73,47488 
73,30726 
73,14087 
73,84374 
73,39900 
73,32683 
78,48949 
78,64865 
78,2042 
78,69504 
78,82021 
78,31437 
78,26233 
78,106791 
78,765 
99,19996 
99,34473 
99,27298 
99,59964 
99,93091 
99,102839 
99,69369 
99,32683 
99,65601 
99,53273 
99,44127 
99,69437 
99,3370 
99,51779 
99,93972 
99,89219 
99,89115 
99,1591 
99,79306 
99,69186 
99,108229 
99,90901 
99,48887 
99,106538 
99,98497 
99,54080 
99,61992 
99,60287 
99,45227 
99,82704 
112,15759 
112,36631 
112,69708 
112,74952 
112,36565 
112,64480 
112,4488 
112,1462 
112,75824 
120,73570 
120,77088 
120,106510 
120,25834 
120,74854 
120,56972 
120,75824 
120,4656 
120,32168 
120,592 
156,69412 
156,38135 
156,31107 
156,70977 
156,71157 
156,58429 
165,36646 
165,32152 
165,65321 
165,19532 
165,108151 
165,20002 
165,72038 
165,5750 
196,77244 
196,20002 
196,73738 
196,55048 
196,6206 
196,16810 
196,76495 
196,31260 
196,104117 
196,59434 
196,107579 
198,48197 
198,32651 
198,4566 
198,35513 
198,55780 
198,96447 
198,42060 
198,68204 
198,15759 
198,42721 
198,94090 
198,40582 
198,83219 
198,68270 
198,42996 
198,4049 
198,74854 
198,44034 
198,92468 
198,89976 
198,27762 
198,8871 
198,60887 
198,10793 
198,1841 
198,33508 
210,46929 
210,97198 
210,30682 
210,38314 
228,50797 
228,50861 
228,84578 
228,93928 
228,17231 
305,28124 
305,39860 
305,12886 
305,92556 
305,108338 
305,42361 
305,69437 
305,70977 
305,101740 
305,14146 
305,96495 
305,104565 
305,96132 
305,105697 
305,98497 
321,58827 
321,59964 
321,87310 
321,34473 
321,89686 
321,58279 
321,78131 
321,22406 
321,29097 
321,65601 
321,31117 
321,36507 
321,86344 
321,98971 
321,17774 
321,17085 
321,28324 
321,9118 
321,37986 
321,53273 
321,44127 
321,66075 
321,72887 
321,89219 
321,66568 
321,49177 
321,98649 
321,75913 
321,1591 
321,69186 
321,70977 
321,75824 
321,26340 
321,23344 
321,6072 
321,44488 
321,89115 
321,60287 
378,11146 
378,64286 
378,91249 
378,18580 
378,79351 
378,87689 
378,35443 
378,52975 
378,97198 
378,30114 
378,14666 
378,2042 
378,103075 
378,97897 
378,48887 
378,28887 
378,69437 
378,28741 
378,8702 
378,87712 
378,63364 
378,76022 
378,101722 
378,107091 
378,45153 
378,41887 
378,98292 
378,73704 
378,69186 
378,38135 
378,61185 
378,72191 
378,78887 
378,29592 
378,78787 
378,94175 
378,65444 
378,45222 
378,95274 
378,23024 
378,102211 
395,78223 
395,47367 
395,46099 
395,71402 
395,7631 
395,58064 
395,7752 
395,97198 
395,58986 
395,67445 
395,100145 
395,91751 
395,76909 
395,31853 
395,68454 
395,38403 
395,40556 
395,44881 
395,8704 
429,52862 
429,28887 
429,5053 
429,61952 
429,53221 
429,97198 
429,90961 
429,57577 
429,29760 
429,54202 
429,91469 
429,40292 
429,102157 
429,74792 
429,41545 
429,61317 
429,9216 
429,66299 
429,15009 
429,76086 
429,101285 
429,108327 
429,34871 
429,52725 
429,103073 
429,63769 
429,92455 
429,70440 
429,23007 
429,35943 
429,53910 
