Id, label
42	,	Red	Cloud's	War										
73	,	African-American	history											
78	,	Battle	of	Camden										
99	,	Walther	von	Brauchitsch										
112	,	Kingdom	of	Laos										
120	,	Pervez	Musharraf											
156	,	Louis	Botha											
165	,	Battle	of	Moh&#225	cs									
196	,	War	of	the	Polish	Succession								
198	,	Iraq	War											
210	,	Stephen	W.	Sears										
228	,	Gothic	War	(535&#8211	554)									
305	,	Battle	of	Jutland										
321	,	Neville	Chamberlain's	European	Policy									
378	,	Horses	in	warfare										
395	,	Shiloh	Confederate	order	of	battle								
429	,	Northern	Virginia	Campaign										
483	,	Secretary	of	State	for	Air								
510	,	Edwin	Stanton											
592	,	Zulfikar	Ali	Bhutto										
604	,	Milorg												
643	,	Mark	W.	Clark										
666	,	Viet	Minh											
702	,	Simon	Wiesenthal											
759	,	Indo-Pakistani	War	of	1947									
765	,	Francis	Rawdon-Hastings											
811	,	Remembrance	Day											
820	,	French	Revolution											
921	,	Stjepan	Mesi&#263											
936	,	Byzantine&#8211	Bulgarian	wars										
1058	,	Treaty	of	Bucharest	-1918									
1153	,	Operation	Crusader											
1154	,	Prince	Josias	of	Saxe-Coburg-Saalfeld									
1196	,	Diomedes												
1220	,	Vercingetorix												
1230	,	Fallschirmj&#228	ger	(World	War	II)								
1285	,	European	theatre	of	World	War	II							
1297	,	Chattanooga-Ringgold	Campaign	Union	order	of	battle							
1331	,	The	Troubles											
1340	,	53rd	Pennsylvania	Infantry										
1388	,	Paul	Brickhill											
1390	,	Little	Turtle											
1462	,	Plain	of	Jars										
1463	,	John	J.	Pershing										
1517	,	Harriet	Tubman											
1557	,	Gadsden	Purchase											
1591	,	Hermann	G&#246	ring										
1599	,	Jean-Pierre	Doumerc											
1622	,	Mathew	Brady											
1672	,	Kamenets-Podolsky	pocket											
1689	,	Dnieper&#8211	Carpathian	Offensive										
1716	,	Peachtree	Creek	Confederate	order	of	battle							
1765	,	Ign&#225	c	Gyulay										
1766	,	George	I	of	Greece									
1823	,	Battle	for	Caen										
1825	,	Catholic	resistance	to	Nazi	Germany								
1841	,	Central	Intelligence	Agency										
1858	,	American-led	intervention	in	Syria									
1879	,	Titu	Maiorescu											
1956	,	J&#243	zef	Pi&#322	sudski									
1981	,	Battle	of	Tripoli	-2011									
1994	,	Early	Modern	Romania										
2042	,	American	Revolutionary	War										
2071	,	Anglo-Japanese	Alliance											
2122	,	Vespasian												
2166	,	Jacques	Sadoul	(politician)										
2167	,	Battle	in	Berlin										
2235	,	Retreat	from	Gettysburg										
2302	,	Wallachia												
2443	,	Earl	Van	Dorn										
2469	,	Clement	A.	Evans										
2522	,	Atlanta	Confederate	order	of	battle								
2544	,	Outline	of	the	American	Civil	War							
2562	,	British	America											
2564	,	Horses	in	World	War	I								
2607	,	Philippine	Revolution											
2611	,	NATO												
2764	,	Aeneas												
2789	,	Operation	Chastise											
2829	,	United	Daughters	of	the	Confederacy								
2925	,	Battle	of	Ligny										
2930	,	War	of	1812										
2980	,	Battle	of	Quebec	-1775									
2992	,	General	officers	in	the	Confederate	States	Army						
3094	,	Indian	Army	during	World	War	I							
3096	,	Kataeb	Party											
3106	,	Age	of	Discovery										
3158	,	Spanish	Empire											
3176	,	Battle	of	Marathon										
3227	,	John	Buford											
3260	,	Richard	Mentor	Johnson										
3266	,	William	Cornwallis											
3280	,	Erich	Hartmann											
3348	,	Jos&#233		de	San	Mart&#237	n							
3358	,	California	in	the	American	Civil	War							
3370	,	Battle	of	Verdun										
3419	,	Edward												
3431	,	William	I	of	the	Netherlands								
3492	,	Battle	of	Kings	Mountain									
3500	,	Gunther	E.	Rothenberg										
3589	,	Francoist	Spain											
3615	,	Operation	Weser&#252	bung										
3632	,	4th	Ohio	Infantry										
3671	,	Serbian	Campaign	of	World	War	I							
3681	,	Air	raids	on	Japan									
3683	,	Battle	of	Hatcher's	Run									
3691	,	Pawnee	people											
3708	,	Ten	Years'	War										
3746	,	Catholic	League	(French)										
3784	,	Archibald	Wavell											
3803	,	Exp&#233	dition	d'Irlande										
3804	,	Walter	Krueger											
3842	,	Appomattox	Campaign	Confederate	order	of	battle							
3866	,	Names	of	the	American	Civil	War							
3891	,	Carlisle	Barracks											
3940	,	Radical	Republican											
3953	,	Italian	Empire											
4049	,	Syrian	Civil	War										
4064	,	Joseph	Stalin											
4073	,	George	S.	Greene										
4080	,	Bibliography	of	World	War	II								
4233	,	Chaco	War											
4291	,	Cherokee&#8211	American	wars										
4312	,	Glorious	First	of	June									
4488	,	Pathet	Lao											
4493	,	Italian	Libya											
4501	,	Ante	Paveli&#263											
4550	,	Quasi-War												
4566	,	Quds	Force											
4567	,	Chattanooga-Ringgold	Campaign	Confederate	order	of	battle							
4572	,	Adolf	Eichmann											
4602	,	Caucasus	Campaign											
4633	,	Henry	Ford											
4656	,	Malaysia												
4707	,	Ferdinand	Foch											
4709	,	Isham	G.	Harris										
4829	,	William	I											
4836	,	Felix	Aderca											
4867	,	Da	Nang	Air	Base									
4898	,	Order	of	battle	for	Operation	Barbarossa							
4928	,	Military	attach&#233	s	and	observers	in	the	Russo-Japanese	War				
4946	,	Young	Turk	Revolution										
4953	,	Warsaw	Pact	invasion	of	Czechoslovakia								
5025	,	Japanese	propaganda	during	World	War	II							
5053	,	Chantilly	Confederate	order	of	battle								
5138	,	Ho-Chunk												
5149	,	Radovan	Karad&#382	i&#263										
5154	,	Harpers	Ferry											
5160	,	Indiana	in	the	American	Civil	War							
5200	,	London	County	Council										
5203	,	G&#252	nther	L&#252	tzow									
5222	,	Treaty	of	Campo	Formio									
5255	,	Walt	Whitman											
5269	,	Battle	of	Hong	Kong									
5312	,	Philip	St.	George	Cooke									
5354	,	Vance	plan											
5385	,	Texas	Brigade											
5402	,	Siege	of	Petersburg										
5419	,	John	Brown	Gordon										
5461	,	Muammar	Gaddafi											
5514	,	Aden	Protectorate											
5535	,	Industrial	warfare											
5538	,	Air	America	(airline)										
5578	,	Atlantic	Charter											
5596	,	Trojan	Horse											
5661	,	NATO	bombing	of	Yugoslavia									
5665	,	1906	San	Francisco	earthquake									
5737	,	King	Philip's	War										
5750	,	Suleiman	the	Magnificent										
5774	,	Mariana	and	Palau	Islands	campaign								
5778	,	Encirclement	Campaigns											
5796	,	Cultural	Revolution											
5850	,	Balli	Komb&#235	tar										
5890	,	Rodion	Malinovsky											
5915	,	Abenaki												
5943	,	Operation	Yiftach											
5985	,	Allies	of	World	War	I								
5999	,	Texas	in	the	American	Civil	War							
6034	,	Battle	of	Tarawa										
6042	,	Destroyers	for	Bases	Agreement									
6063	,	3rd	Vermont	Infantry										
6068	,	Franz	Sigel											
6072	,	Invasion	of	Poland										
6074	,	France	in	the	American	Revolutionary	War							
6095	,	War	of	the	Pacific									
6181	,	Illinois	in	the	American	Civil	War							
6186	,	Battle	of	Wilson's	Creek									
6206	,	Charles	XII	of	Sweden									
6265	,	Trojan	War											
6293	,	Sword	Beach											
6326	,	Derna												
6379	,	Operation	Downfall											
6390	,	August	Meyszner											
6460	,	Nashville	Confederate	order	of	battle								
6467	,	Baltic	Offensive											
6511	,	Arab	Spring											
6527	,	Commonwealth	of	England										
6534	,	Fort	Pickens											
6622	,	Russo-Turkish	War	(1877&#8211	78)									
6650	,	John	S.	Mosby										
6766	,	Siege	of	Kehl	(1796&#8211	97)								
6783	,	Basil	II											
6797	,	Battle	of	Fort	Blakely									
6980	,	Stephen	Decatur											
7030	,	Fort	Stedman	Confederate	order	of	battle							
7045	,	Dirty	War											
7056	,	Dolores	Ib&#225	rruri										
7066	,	Ion	Vinea											
7071	,	Iwo	Jima											
7084	,	Lublin&#8211	Brest	Offensive										
7104	,	Battle	of	Milne	Bay									
7106	,	Edward	I	of	England									
7108	,	Howard	Zinn											
7207	,	Philip	II	of	Spain									
7216	,	Northern	Expedition											
7224	,	Queen	Elizabeth	The	Queen	Mother								
7241	,	Karl	Philipp											
7256	,	Battle	of	Megiddo	-1918									
7325	,	Emilio	Aguinaldo											
7377	,	Battle	of	the	Mediterranean									
7453	,	Battle	of	Dresden										
7457	,	Fifteenth	Amendment	to	the	United	States	Constitution						
7631	,	Patrick	Cleburne											
7633	,	Benjamin	Disraeli											
7634	,	Battle	of	Iwo	Jima									
7648	,	Operation	Crossroads											
7683	,	Burma	Road											
7690	,	Garnet	Wolseley											
7693	,	Gold	Beach											
7705	,	Frederick	the	Great										
7728	,	Benjamin	Netanyahu											
7751	,	Semyon	Budyonny											
7752	,	Leonidas	Polk											
7793	,	Fran&#231	ois	Joseph	Lefebvre									
7848	,	Israeli	Declaration	of	Independence									
7869	,	Monocacy	Confederate	order	of	battle								
7872	,	Ngo	Dinh	Diem										
7875	,	Utah	Territory											
7920	,	Battle	of	Peleliu										
7986	,	Archduke	John	of	Austria									
8010	,	Antonio	L&#243	pez	de	Santa	Anna							
8018	,	Entente	Cordiale											
8034	,	Fort	McPherson											
8071	,	Opequon	Union	Order	of	Battle								
8184	,	Southern	Rhodesia	in	World	War	II							
8195	,	The	World	at	War									
8225	,	Civil	War	Trust										
8260	,	Battle	of	Bunker	Hill									
8283	,	Tammany	Hall											
8302	,	Operation	Nordwind											
8336	,	East	India	Company										
8381	,	Battle	of	Sailor's	Creek									
8388	,	Samuel	Eliot	Morison										
8455	,	Battle	of	Arras	-1917									
8573	,	First	Serbian	Uprising										
8581	,	Augustus	Keppel											
8673	,	American	Colonization	Society										
8676	,	Treaty	of	Paris	-1856									
8678	,	Kliment	Voroshilov											
8688	,	First	Battle	of	Winchester									
8700	,	Gotthard	Heinrici											
8702	,	Eastern	Front	(World	War	II)								
8704	,	Official	Records	of	the	American	Civil	War						
8798	,	Role	of	Douglas	Haig	in	1918							
8813	,	Robert	Devereux											
8823	,	Potsdam	Declaration											
8828	,	Wyoming	Territory											
8867	,	Horatio	Wright											
8871	,	Rationale	for	the	Iraq	War								
8874	,	Battle	of	the	Little	Bighorn								
8876	,	Tunisia	Campaign											
8903	,	United	States	occupation	of	Nicaragua								
8947	,	Mateiu	Caragiale											
9016	,	Fran&#231	ois	&#201	tienne	de	Kellermann							
9039	,	Palmyra												
9112	,	Allied	war	crimes	during	World	War	II						
9118	,	Second	Spanish	Republic										
9151	,	Battle	of	the	Dnieper									
9216	,	Second	Battle	of	Bull	Run								
9257	,	Lines	of	Torres	Vedras									
9357	,	Han	dynasty											
9362	,	Rashi												
9388	,	Hungarian	Revolution	of	1956									
9406	,	House	Un-American	Activities	Committee									
9480	,	European	theatre	of	World	War	I							
9534	,	Grand	Duke	Alexei	Alexandrovich	of	Russia							
9608	,	George	Vancouver											
9649	,	Battle	of	Sedan										
9710	,	2011	military	intervention	in	Libya								
9722	,	Combined	Chiefs	of	Staff									
9744	,	Harper's	Weekly											
9758	,	Battle	of	Orthez										
9779	,	Great	Migration	(African	American)									
9795	,	RAF	Manston											
9826	,	Hugh	Gough											
9838	,	South	West	Pacific	theatre	of	World	War	II					
9867	,	Gershom	Mott											
9869	,	Cochise												
9894	,	Brandenburgers												
10017	,	United	States	Army	Air	Service								
10062	,	Tan	Son	Nhut	Air	Base								
10066	,	Bleeding	Kansas											
10106	,	Imperialism												
10144	,	German-occupied	Europe											
10172	,	Dayton	Agreement											
10175	,	John	Colborne											
10303	,	Western	Theater	of	the	American	Civil	War						
10308	,	Manuel	I	Komnenos										
10324	,	Battle	of	Bazentin	Ridge									
10377	,	Battle	of	Chickasaw	Bayou									
10385	,	Camden	Expedition											
10412	,	Operation	Bodenplatte											
10415	,	Joseph	Hooker											
10455	,	Sioux	Wars											
10457	,	Anti-Zionism												
10529	,	Western	imperialism	in	Asia									
10564	,	Louis	Friant											
10588	,	Irish	Confederate	Wars										
10622	,	Battle	of	Caporetto										
10690	,	A.	J.	P.	Taylor									
10726	,	John	C.	Pemberton										
10731	,	Michael	VIII	Palaiologos										
10749	,	Alexander	Kerensky											
10793	,	Overseas	interventions	of	the	United	States							
10846	,	2006	Lebanon	War										
10865	,	3rd	Battalion	5th	Marines									
10920	,	Battle	of	the	Caucasus									
10931	,	Women	in	warfare	and	the	military	in	the	19th	century			
10948	,	Erich	Raeder											
10980	,	Advanced	Landing	Ground										
10982	,	Oregon	Territory											
10989	,	Operation	Ke											
11039	,	Territorial	evolution	of	Germany									
11061	,	Italian	invasion	of	France									
11141	,	Adelbert	Ames											
11146	,	Battle	of	Gettysburg										
11149	,	Nullification	Crisis											
11167	,	David	Lloyd	George										
11252	,	Kenji	Doihara											
11322	,	Union	of	Transylvania	with	Romania								
11356	,	Alexander	Cochrane											
11359	,	Henrietta	Maria	of	France									
11400	,	Spanish	invasion	of	Portugal	-1762								
11429	,	Battle	of	Lookout	Mountain									
11480	,	Brooklyn	Navy	Yard										
11530	,	Battle	of	Contreras										
11599	,	German	occupation	of	Norway									
